Hofname,clean_address,Wohnungen,Lokale
Viktor-Frankl-Hof,"1020 Wien, Zirkusgasse",24,0
Adolf-Scharner-Hof,"1040 Wien, Goldeggasse",16,1
Hildegard-Burjan-Hof,"1130 Wien, Speisinger Straße",31,5
Franz-Gawlik-Hof,"1150 Wien, Goldschlagstraße",13,1
Margarete-Schütte-Lihotzky-Hof,"1210 Wien, Donaufelder Straße",174,10
Europan,"1220 Wien, Rosalia-Chladek-Gasse",182,5
Naturnahes Wohnen,"1220 Wien, Fred-Raymond-Gasse",41,0
Erzherzog-Karl-Stadt,"1220 Wien, Erzherzog-Karl-Straße",206,2
Donaufelderhof,"1220 Wien, Arakawastraße",107,2
Leopold-Mayrhofer-Hof,"1130 Wien, Steckhovengasse",48,1
Fischerstiege 4-8,"1010 Wien, Fischerstiege",66,16
Salvatorgasse 10,"1010 Wien, Salvatorgasse",116,30
Rudolfsplatz 8,"1010 Wien, Rudolfsplatz",44,12
Ausstellungsstraße 43,"1020 Wien, Ausstellungsstraße",18,2
Gredlerstraße 7,"1020 Wien, Gredlerstraße",97,3
Mexikoplatz 25,"1020 Wien, Mexikoplatz",48,5
Negerlegasse 4,"1020 Wien, Negerlegasse",52,3
Blumauergasse 24,"1020 Wien, Blumauergasse",15,2
Engerthstraße 230,"1020 Wien, Engerthstraße",350,6
Quellenstraße 24a,"1100 Wien, Quellenstraße",175,10
Linke Wienzeile 6,"1060 Wien, Linke Wienzeile",11,0
Aichholzgasse 52,"1120 Wien, Aichholzgasse",0,3
Kapaunplatz 1,"1200 Wien, Kapaunplatz",30,1
Wollzeile 27,"1010 Wien, Wollzeile",18,6
Heinestraße 5-7,"1020 Wien, Heinestraße",47,2
Darwingasse 12,"1020 Wien, Darwingasse",31,3
Negerlegasse 8,"1020 Wien, Negerlegasse",16,1
Marinelligasse 10,"1020 Wien, Marinelligasse",47,3
Schüttelstraße 3,"1020 Wien, Schüttelstraße",38,2
Untere Augartenstraße 1-3,"1020 Wien, Untere Augartenstraße",102,18
Springergasse 22,"1020 Wien, Springergasse",16,1
Franzensbrückenstraße 19,"1020 Wien, Franzensbrückenstraße",65,6
Nordbahnstraße 24,"1020 Wien, Nordbahnstraße",31,0
Obere Donaustraße 35,"1020 Wien, Obere Donaustraße",36,3
Franzensbrückenstraße 21,"1020 Wien, Franzensbrückenstraße",48,4
Marinelligasse 1,"1020 Wien, Marinelligasse",48,2
Radingerstraße 21,"1020 Wien, Radingerstraße",17,1
Ybbsstraße 31-33,"1020 Wien, Ybbsstraße",39,2
Harkortstraße 3,"1020 Wien, Harkortstraße",14,1
Ybbsstraße 40-42,"1020 Wien, Ybbsstraße",36,3
Wohlmutstraße 14-16,"1020 Wien, Wohlmutstraße",105,8
Handelskai 210,"1020 Wien, Handelskai",50,2
Tandelmarktgasse 14,"1020 Wien, Tandelmarktgasse",7,1
Wohlmutstraße 4-6,"1020 Wien, Wohlmutstraße",25,1
Engerthstraße 241-247,"1020 Wien, Engerthstraße",406,10
Wehlistraße 305,"1020 Wien, Wehlistraße",84,4
Wehlistraße 309,"1020 Wien, Wehlistraße",56,5
Obere Augartenstraße 12-14,"1020 Wien, Obere Augartenstraße",188,17
Kafkastraße 11,"1020 Wien, Kafkastraße",35,1
Obere Augartenstraße 44,"1020 Wien, Obere Augartenstraße",81,2
Wehlistraße 156-158,"1020 Wien, Wehlistraße",50,1
Untere Augartenstraße 15-17,"1020 Wien, Untere Augartenstraße",51,2
Miesbachgasse 15,"1020 Wien, Miesbachgasse",116,9
Untere Augartenstraße 39,"1020 Wien, Untere Augartenstraße",34,6
Lassallestraße 24,"1020 Wien, Lassallestraße",37,4
Walcherstraße 10-16,"1020 Wien, Walcherstraße",108,3
Edgar-Schranz-Hof,"1020 Wien, Rustenschacherallee",163,3
Kleine Mohrengasse 9,"1020 Wien, Kleine Mohrengasse",21,3
Franz-Hochedlinger-Gasse 30-32,"1020 Wien, Franz-Hochedlinger-Gasse",43,7
Sturgasse 3-5,"1020 Wien, Sturgasse",173,6
Vorgartenstraße 198,"1020 Wien, Vorgartenstraße",18,2
Vivariumstraße 6-10,"1020 Wien, Vivariumstraße",149,7
Vorgartenstraße 194,"1020 Wien, Vorgartenstraße",19,0
Ausstellungsstraße 67,"1020 Wien, Ausstellungsstraße",18,0
Vivariumstraße 13-17,"1020 Wien, Vivariumstraße",126,3
Taborstraße 53-55,"1020 Wien, Taborstraße",33,5
Zirkusgasse 33,"1020 Wien, Zirkusgasse",33,4
Engerthstraße 237,"1020 Wien, Engerthstrasse",385,23
Große Pfarrgasse 16-20,"1020 Wien, Große Pfarrgasse",16,3
Vorgartenstraße 158-170,"1020 Wien, Vorgartenstraße",323,9
Heinz-Weißmann-Hof,"1020 Wien, Mexikoplatz",171,12
Czerninplatz 7,"1020 Wien, Czerninplatz",96,6
Eveline-Andrlik-Hof,"1020 Wien, Engerthstraße",567,23
Wehlistraße 303,"1020 Wien, Wehlistraße",147,11
Ennsgasse 7-11,"1020 Wien, Ennsgasse",136,11
Mexikoplatz 2-3,"1020 Wien, Mexikoplatz",112,5
Handelskai 390-392,"1020 Wien, Wehlistraße",28,5
Dr.-Natterer-Gasse 2-4,"1020 Wien, Dr.-Natterer-Gasse",227,3
Wehlistraße 307,"1020 Wien, Wehlistraße",16,6
Sturgasse 7,"1020 Wien, Sturgasse",154,5
Karlheinz-Hora-Hof,"1020 Wien, Handelskai",1041,59
Engerthstraße 189-191,"1020 Wien, Engerthstraße",131,10
Wehlistraße 157,"1020 Wien, Wehlistraße",30,0
Zirkusgasse 30,"1020 Wien, Zirkusgasse",14,0
Kurt-Heller-Hof,"1020 Wien, Engerthstraße",273,14
Weintraubengasse 6-10,"1020 Wien, Weintraubengasse",26,1
Weintraubengasse 13,"1020 Wien, Weintraubengasse",5,2
Taborstraße 100,"1020 Wien, Taborstraße",29,1
Zirkusgasse 22,"1020 Wien, Zirkusgasse",13,0
Rueppgasse 12-14,"1020 Wien, Rueppgasse",26,0
Wehlistraße 160-162,"1020 Wien, Wehlistraße",50,1
Kleine Stadtgutgasse 11-13,"1020 Wien, Kleine Stadtgutgasse",41,2
Große Schiffgasse 32,"1020 Wien, Große Schiffgasse",18,1
Leopoldsgasse 24,"1020 Wien, Leopoldsgasse",27,2
Malzgasse 1,"1020 Wien, Malzgasse",14,1
Im Werd 15,"1020 Wien, Im Werd",13,0
Im Werd 4,"1020 Wien, Im Werd",11,2
Untere Augartenstraße 23,"1020 Wien, Untere Augartenstraße",41,0
Große Schiffgasse 30,"1020 Wien, Große Schiffgasse",19,1
Lorbeergasse 6,"1030 Wien, Lorbeergasse",27,2
Baumgasse 43,"1030 Wien, Baumgasse",23,0
Drorygasse 8,"1030 Wien, Drorygasse",110,12
Engelsberggasse 3,"1030 Wien, Engelsberggasse",39,1
Riesgasse 4,"1030 Wien, Riesgasse",38,2
Ludwig-Koeßler-Platz 3,"1030 Wien, Ludwig-Koeßler-Platz",125,16
Dietrichgasse 32-34,"1030 Wien, Dietrichgasse",67,1
Khunngasse 6-8,"1030 Wien, Khunngasse",43,6
Hagenmüllergasse 25,"1030 Wien, Hagenmüllergasse",68,4
Klopsteinplatz 6,"1030 Wien, Klopsteinplatz",62,4
Hagenmüllergasse 21-23,"1030 Wien, Hagenmüllergasse",123,9
Eslarngasse 3-9,"1030 Wien, Eslarngasse",85,3
Weinlechnergasse 1,"1030 Wien, Weinlechnergasse",26,0
Khunngasse 20,"1030 Wien, Khunngasse",16,0
Göllnergasse 25,"1030 Wien, Göllnergasse",10,0
