"Hofname";"Adresse";"Baujahr von";"Baujahr bis";"Baujahr um";"Architekt";"Kunst am Bau";"Letzte Sanierung von";"Letzte Sanierung bis";"Wohnungen";"Lokale";"PDF-Download"
"Weiglgasse 6-10";"1150 Wien, Weiglgasse Weiglgasse";"1976";"1980";"";"Wilhelm Holzbauer";"nein";"";"";"291";"14";"https://www.wwpipe.at/web-portal/complex-description/1215389"
"Ansch¸tzgasse 9-13";"1150 Wien, Ansch¸tzgasse Ansch¸tzgasse";"1978";"1981";"";"Heinz Ekhart, Stefan K. H¸bner";"nein";"";"";"79";"1";"https://www.wwpipe.at/web-portal/complex-description/1515390"
"Kranzgasse 20";"1150 Wien, Kranzgasse Kranzgasse";"1980";"1981";"";"G¸nther Ludwig";"nein";"";"";"18";"0";"https://www.wwpipe.at/web-portal/complex-description/1615392"
"Geibelgasse 10";"1150 Wien, Geibelgasse Geibelgasse";"1978";"1980";"";"Leopoldine Schwarzinger";"nein";"";"";"19";"0";"https://www.wwpipe.at/web-portal/complex-description/1515393"
"Grimmgasse 19";"1150 Wien, Grimmgasse Grimmgasse";"1978";"1980";"";"Walter Olensky";"nein";"";"";"15";"0";"https://www.wwpipe.at/web-portal/complex-description/1515394"
"Reindorfgasse 9";"1150 Wien, Reindorfgasse Reindorfgasse";"1978";"1980";"";"Johannes Peter";"nein";"";"";"29";"4";"https://www.wwpipe.at/web-portal/complex-description/1515395"
"Grimmgasse 4";"1150 Wien, Grimmgasse Grimmgasse";"1978";"1980";"";"Gabor Fettik";"nein";"";"";"16";"1";"https://www.wwpipe.at/web-portal/complex-description/1515396"
"Hagengasse 21";"1150 Wien, Hagengasse Hagengasse";"1978";"1979";"";"Peter Koban";"nein";"";"";"15";"1";"https://www.wwpipe.at/web-portal/complex-description/1515397"
"Dankwartgasse 6";"1150 Wien, Dankwartgasse Dankwartgasse";"1977";"1979";"";"Heribert Soyka";"nein";"";"";"16";"1";"https://www.wwpipe.at/web-portal/complex-description/1515398"
"Clementinengasse 3";"1150 Wien, Clementinengasse Clementinengasse";"1979";"1980";"";"Ernst Lederer-Ponzer";"nein";"";"";"26";"1";"https://www.wwpipe.at/web-portal/complex-description/1515399"
"Grimmgasse 8";"1150 Wien, Grimmgasse Grimmgasse";"1978";"1980";"";"Gerhard Kleindienst";"nein";"";"";"13";"0";"https://www.wwpipe.at/web-portal/complex-description/1515400"
"Reindorfgasse 38";"1150 Wien, Reindorfgasse Reindorfgasse";"1979";"1980";"";"Friedrich Moser";"nein";"";"";"25";"5";"https://www.wwpipe.at/web-portal/complex-description/1515401"
"Dreihausgasse 8-10";"1150 Wien, Dreihausgasse Dreihausgasse";"1980";"1981";"";"Hans Scasn˝";"nein";"";"";"33";"0";"https://www.wwpipe.at/web-portal/complex-description/1615402"
"Grimmgasse 15";"1150 Wien, Grimmgasse Grimmgasse";"1981";"1983";"";"Gabor Fettik, Walter Olensky";"nein";"";"";"17";"0";"https://www.wwpipe.at/web-portal/complex-description/1615403"
"Herklotzgasse 17-19";"1150 Wien, Herklotzgasse Herklotzgasse";"1981";"1983";"";"Karl Kotal";"nein";"";"";"32";"0";"https://www.wwpipe.at/web-portal/complex-description/1615404"
"Grimmgasse 44";"1150 Wien, Grimmgasse Grimmgasse";"1982";"1984";"";"Johannes Peter";"nein";"";"";"21";"1";"https://www.wwpipe.at/web-portal/complex-description/1615405"
"Dadlergasse 17";"1150 Wien, Dadlergasse Dadlergasse";"1982";"1984";"";"Erich Boltenstern";"nein";"";"";"50";"4";"https://www.wwpipe.at/web-portal/complex-description/1715406"
"Hollergasse 12";"1150 Wien, Hollergasse Hollergasse";"1981";"1982";"";"Werner Appelt";"nein";"";"";"15";"3";"https://www.wwpipe.at/web-portal/complex-description/1615407"
"Braunhirschengasse 8-10";"1150 Wien, Braunhirschengasse Braunhirschengasse";"1982";"1984";"";"Engelbert Eder";"nein";"";"";"15";"0";"https://www.wwpipe.at/web-portal/complex-description/1715408"
"Hollergasse 21";"1150 Wien, Hollergasse Hollergasse";"1983";"1985";"";"Diether S. Hoppe";"nein";"";"";"14";"1";"https://www.wwpipe.at/web-portal/complex-description/1715409"
"Reichsapfelgasse 9";"1150 Wien, Reichsapfelgasse Reichsapfelgasse";"1983";"1985";"";"Allgemeine Wohnbau Planung GesmbH";"nein";"";"";"37";"1";"https://www.wwpipe.at/web-portal/complex-description/1715410"
"Beckmanngasse 64";"1150 Wien, Beckmanngasse Beckmanngasse";"1984";"1987";"";"Heinz Ekhart";"nein";"";"";"10";"1";"https://www.wwpipe.at/web-portal/complex-description/1715411"
"Goldschlagstraﬂe 91";"1150 Wien, Goldschlagstraﬂe Goldschlagstraﬂe";"1984";"1985";"";"Manfred Kobel";"nein";"";"";"12";"2";"https://www.wwpipe.at/web-portal/complex-description/1715412"
"Heinickegasse 3";"1150 Wien, Heinickegasse Heinickegasse";"1985";"1986";"";"Rudolf Foltin";"nein";"";"";"13";"0";"https://www.wwpipe.at/web-portal/complex-description/1715413"
